Date,Portfolio,Portfolio Returns,Index Returns,Over Index
2019-02-24,"['SWKS', 'LRCX', 'FISV', 'COST', 'AMGN', 'INTC', 'NVDA', 'CHKP', 'HON', 'QCOM', 'XEL', 'TXN', 'MNST', 'PCAR', 'CERN', 'CMCSA']",-1.1,5.31,0
2019-02-27,"['SWKS', 'INTC', 'MU', 'CTAS', 'CHTR', 'FB', 'NVDA', 'XEL', 'HON', 'CHKP', 'QCOM', 'TXN', 'PCAR', 'MNST', 'CERN', 'CMCSA']",-2.28,4.45,0
2019-02-28,"['AMGN', 'SWKS', 'INTC', 'CTAS', 'NVDA', 'FB', 'XEL', 'CHKP', 'CHTR', 'HON', 'QCOM', 'TXN', 'MNST', 'CMCSA', 'PCAR', 'CERN']",0.89,5.62,0
2019-03-01,"['ADSK', 'INCY', 'NVDA', 'INTC', 'QCOM', 'NTES', 'SIRI', 'FB', 'MNST', 'SWKS', 'XEL', 'CMCSA', 'TXN', 'CHTR', 'PCAR', 'CERN']",-1.52,6.03,0
2019-03-02,"['AEP', 'NTES', 'QCOM', 'LRCX', 'SWKS', 'SIRI', 'CERN', 'XEL', 'CDNS', 'INCY', 'CMCSA', 'MNST', 'HON', 'CHTR', 'PCAR', 'PAYX']",2.75,8.36,0
2019-03-03,"['NVDA', 'KLAC', 'ADSK', 'CTAS', 'LRCX', 'AEP', 'FB', 'SWKS', 'XEL', 'HON', 'CHTR', 'MNST', 'CMCSA', 'PCAR', 'PAYX', 'TXN']",4.17,7.44,0
2019-03-06,"['SIRI', 'NVDA', 'NXPI', 'ADSK', 'ASML', 'PAYX', 'CTAS', 'AEP', 'FB', 'XEL', 'SWKS', 'PCAR', 'HON', 'MNST', 'CMCSA', 'TXN']",1.03,6.42,0
2019-03-07,"['NVDA', 'VRSK', 'ADSK', 'AEP', 'NXPI', 'PAYX', 'FB', 'CHTR', 'CTAS', 'SWKS', 'XEL', 'HON', 'PCAR', 'MNST', 'CMCSA', 'TXN']",2.46,5.43,0
2019-03-08,"['NXPI', 'ADSK', 'ROST', 'CHTR', 'PAYX', 'AEP', 'FB', 'GOOG', 'CTAS', 'XEL', 'SWKS', 'PCAR', 'HON', 'CMCSA', 'MNST', 'TXN']",3.01,3.98,0
2019-03-09,"['SIRI', 'LRCX', 'MU', 'HON', 'ROST', 'AEP', 'ADSK', 'CHTR', 'SWKS', 'GOOG', 'FB', 'XEL', 'MNST', 'CMCSA', 'TXN', 'PCAR']",-2.15,3.27,0
2019-03-10,"['FB', 'CHKP', 'AMD', 'INCY', 'MU', 'AVGO', 'DLTR', 'SWKS', 'AEP', 'CTAS', 'NVDA', 'XEL', 'MNST', 'PCAR', 'CMCSA', 'TXN']",3.66,1.33,1
2019-03-13,"['NXPI', 'AMD', 'GOOG', 'MU', 'DLTR', 'LRCX', 'SWKS', 'FB', 'AEP', 'XEL', 'NVDA', 'AVGO', 'MNST', 'CMCSA', 'PCAR', 'TXN']",2.69,3.43,0
2019-03-14,"['MU', 'CDNS', 'INTC', 'HON', 'NVDA', 'AEP', 'AVGO', 'CERN', 'FB', 'ASML', 'XEL', 'SWKS', 'MNST', 'CMCSA', 'TXN', 'PCAR']",1.08,5.54,0
2019-03-15,"['BIIB', 'PAYX', 'MU', 'HON', 'CHTR', 'AVGO', 'AEP', 'FB', 'XEL', 'SWKS', 'NVDA', 'MNST', 'CMCSA', 'CERN', 'PCAR', 'TXN']",-0.27,5.39,0
2019-03-16,"['LRCX', 'MU', 'CDNS', 'HON', 'XEL', 'AEP', 'CHTR', 'SWKS', 'FB', 'AVGO', 'CERN', 'NVDA', 'CMCSA', 'MNST', 'TXN', 'PCAR']",3.56,6.4,0
2019-03-17,"['CTAS', 'COST', 'HON', 'MU', 'DLTR', 'ADSK', 'CHTR', 'CMCSA', 'XEL', 'AEP', 'NVDA', 'SWKS', 'MNST', 'CERN', 'PCAR', 'TXN']",3.8,6.7,0
2019-03-20,"['HON', 'SIRI', 'INCY', 'MU', 'CHTR', 'CTAS', 'XEL', 'AEP', 'NVDA', 'ADSK', 'MNST', 'SWKS', 'CMCSA', 'TXN', 'PCAR', 'CERN']",1.36,9.39,0
2019-03-21,"['HON', 'MU', 'FB', 'INTC', 'CTAS', 'CHTR', 'SIRI', 'XEL', 'NVDA', 'AEP', 'MNST', 'SWKS', 'CMCSA', 'TXN', 'CERN', 'PCAR']",2.92,9.45,0
2019-03-22,"['BIIB', 'ADSK', 'NXPI', 'HON', 'SIRI', 'XEL', 'NVDA', 'BIDU', 'CMCSA', 'CHTR', 'AEP', 'MNST', 'SWKS', 'TXN', 'CERN', 'PCAR']",3.34,11.45,0
2019-03-23,"['AMGN', 'ADSK', 'NXPI', 'INCY', 'XEL', 'NVDA', 'CMCSA', 'SWKS', 'CDNS', 'AEP', 'CERN', 'HON', 'PCAR', 'MNST', 'TXN', 'PAYX']",7.63,11.72,0
2019-03-24,"['INTC', 'ADSK', 'PCAR', 'AEP', 'XEL', 'INCY', 'FB', 'CMCSA', 'SWKS', 'CDNS', 'HON', 'PAYX', 'CHTR', 'CERN', 'MNST', 'TXN']",13.75,14.36,0
2019-03-27,"['CDNS', 'AEP', 'XEL', 'INTC', 'NVDA', 'CMCSA', 'ADSK', 'FB', 'SWKS', 'CHTR', 'PCAR', 'HON', 'MNST', 'PAYX', 'TXN', 'CERN']",13.64,10.92,1
2019-03-28,"['AMD', 'FB', 'AEP', 'ADSK', 'CHTR', 'CMCSA', 'SWKS', 'XEL', 'HON', 'INTC', 'CDNS', 'PCAR', 'MNST', 'PAYX', 'CERN', 'TXN']",21.61,13.51,1
2019-03-29,"['CMCSA', 'AEP', 'XEL', 'HON', 'GOOG', 'ADSK', 'SWKS', 'FB', 'INTC', 'CHTR', 'CDNS', 'NTES', 'MNST', 'PAYX', 'CERN', 'TXN']",14.53,14.89,0
2019-03-30,"['CDNS', 'NXPI', 'AEP', 'XEL', 'HON', 'INCY', 'ADSK', 'SWKS', 'PCAR', 'AVGO', 'CMCSA', 'CHTR', 'PAYX', 'MNST', 'TXN', 'CERN']",14.02,13.82,1
2019-04-03,"['AEP', 'INTC', 'SWKS', 'XEL', 'HON', 'CERN', 'ADSK', 'NTES', 'CDNS', 'CMCSA', 'CTAS', 'PCAR', 'CHTR', 'MNST', 'PAYX', 'TXN']",14.51,18.41,0
2019-04-04,"['AEP', 'INTC', 'MRVL', 'CTAS', 'XEL', 'HON', 'CHTR', 'ADSK', 'NTES', 'CMCSA', 'PCAR', 'SWKS', 'CERN', 'MNST', 'PAYX', 'TXN']",9.56,17.86,0
